-n	you	0.0	[0]
00001740-a	able	8.210526315789474	[20.0, 34.0, 34.0, 0.0, 0.0, 34.0, 34.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00002098-a	unable	-33.666666666666664	[-33.0, -34.0, -34.0]
00002621-r	hardly	0.0	[0.0, 0.0, 0.0]
00003093-r	hardly	-4.5	[0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, -31.0, 0, -8.0, 0, -33.0, 0]
00004258-n	living thing	0.0	[0]
00004722-r	only	0.0	[0.0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0]
00004722-r	just	0.0	[0, 0, 0, 0, 0, 0, 0]
00004722-r	simply	0.0	[0]
00005205-a	absolute	38.0	[0, 0, 95.0, 95.0, 0]
00005526-v	pant	0.0	[0, 0, 0]
00006105-r	largely	0.0	[0]
00007015-r	just about	0.0	[0]
00007015-r	about	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00007347-n	cause	0.0	[0.0]
00007703-r	part	0.0	[0]
00007703-r	partly	0.0	[0, 0, 0, 0, 0, 0]
00007846-n	somebody	0.0	[0, 0, 0]
00007846-n	person	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00007846-n	someone	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00007846-n	mortal	0.0	[0, 0]
00007884-r	half	0.0	[0, 0, 0, 0]
00008007-r	completely	0.0	[0.0, 0.0, 0, 0, 0]
00008007-r	entirely	0.0	[0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0]
00008007-r	all	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00008600-r	only	0.0	[0, 0, 0, 0, 0, 0]
00008600-r	alone	0.0	[0, 0, 0, 0.0]
00008997-r	absolutely	0.0	[0.0, 0.0, 0.0]
00009618-a	spartan	0.0	[0.0]
00009966-r	please	0.0	[0.0, 0.0, 0.0, 0.0, 0.0]
00010759-r	only	0.0	[0, 0.0, 0, 0]
00011011-r	only	0.0	[0, 0, 0, 0, 0]
00011093-r	well	48.333333333333336	[34.0, 0, 64.0, 64.0, 64.0, 64.0]
00012531-r	well	20.0	[20.0]
00012531-r	easily	34.0	[34.0]
00012779-r	well	0.0	[0.0, 0, 0, 0.0, 0.0, 0.0, 0]
00013429-r	well	25.666666666666668	[0, 43.0, 34.0]
00014285-r	considerably	0.0	[0, 0, 0, 0, 0, 0]
00014285-r	well	9.5	[0.0, 0, 28.5]
00014549-v	move	0.0	[0]
00014742-v	slumber	0.0	[0]
00015135-r	well	0.0	[0]
00015388-n	animal	0.0	[0.0, 0, 0.0, 0, 0, 0]
00015388-n	creature	0.0	[0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0]
00015953-r	seriously	0.0	[0.0, 0, 0.0]
00016240-r	badly	0.0	[0.0]
00017282-v	fall asleep	0.0	[0]
00017445-r	even	0.0	[0, 0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0]
00017639-r	yet	0.0	[0]
00017639-r	still	0.0	[0, 0, 0]
00017881-r	just as	0.0	[0, 0, 0, 0]
00018043-r	even	0.0	[0, 0, 0, 0, 0, 0]
00018302-r	rather	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00018302-r	kind of	0.0	[0]
00018577-r	quite	0.0	[0.0, 0, 0, 0, 0]
00018781-r	quite	2.7777777777777777	[0.0, 0, 0.0, 0, 0, 0, 0, 50.0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0]
00018918-r	quite a	0.0	[0]
00018918-r	quite	0.0	[0, 0]
00019339-r	always	1.894736842105263	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36.0, 0, 0, 0, 0]
00020259-v	sit up	0.0	[0, 0]
00020476-r	always	0.0	[0, 0, 0, 0.0]
00020759-r	never	-1.1730769230769231	[0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, -61.0, 0, 0.0, 0.0, 34.0, -34.0, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0]
00020997-r	never	-7.5	[0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, -29.0, -28.0, 0.0, -33.0]
00021212-r	now and again	0.0	[0]
00021212-r	now and then	0.0	[0]
00021265-n	food	0.0	[0, 0, 0, 0, 0, 0]
00021878-r	sometimes	0.0	[0, 0, 0, 0, 0, 0]
00022131-r	as	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00023074-r	that much	0.0	[0]
00023271-n	knowledge	0.0	[0.0, 0.0, 0.0, 0.0, 0]
00023646-v	faint	-11.333333333333334	[-34.0, 0, 0.0]
00023773-n	motive	0.0	[0, 0, 0, 0.0]
