00001740-a	able	2.5	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.0, 0, 0, 0, 20.0, 0]
00002098-a	unable	0.0	[0, 0, 0, 0]
00002436-r	horseback	0.0	[0]
00002621-r	hardly	0.0	[0]
00002621-r	scarce	0.0	[0]
00003093-r	hardly	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00004722-r	just	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00004722-r	only	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00004722-r	merely	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00004722-r	but	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00005055-r	plainly	0.0	[0, 0]
00005718-a	infinite	0.0	[0]
00007012-v	blow	0.0	[0]
00007015-r	roughly	0.0	[0]
00007015-r	or so	0.0	[0]
00007015-r	some	0.0	[0, 0, 0, 0, 0]
00007015-r	about	0.0	[0, 0, 0, 0, 0, 0, 0, 0]
00007015-r	close to	0.0	[0]
00007328-v	yawn	0.0	[0, 0]
00007739-v	blink	0.0	[0]
00007846-n	someone	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00007846-n	person	0.0	[0, 0, 0, 0, 0]
00007846-n	individual	0.0	[0]
00008007-r	entirely	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00008007-r	all	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00008997-r	perfectly	28.22222222222222	[95.0, 0, 0, 0, 64.0, 0, 95.0, 0, 0]
00009966-r	kindly	34.0	[34.0, 34.0, 34.0]
00009966-r	pray	24.285714285714285	[0, 0, 34.0, 34.0, 34.0, 34.0, 34.0]
00009966-r	please	12.75	[0, 0, 0, 0, 0, 34.0, 34.0, 34.0]
00010435-v	do	0.0	[0, 0, 0, 0]
00011011-r	only	0.0	[0, 0, 0, 0, 0, 0, 0]
00011093-r	well	26.363636363636363	[0, 0, 34.0, 0, 64.0, 0, 64.0, 0, 64.0, 0, 64.0]
00012531-r	well	0.0	[0, 0, 0]
00013092-r	well	0.0	[0, 0]
00014285-r	well	0.0	[0]
00015135-r	well	0.0	[0, 0]
00015388-n	beast	0.0	[0, 0, 0, 0]
00015388-n	creature	0.0	[0, 0, 0, 0, 0]
00015388-n	animal	0.0	[0, 0]
00017445-r	even	0.0	[0, 0, 0, 0, 0, 0, 0]
00017639-r	yet	0.0	[0, 0]
00017865-v	go to bed	0.0	[0, 0]
00017881-r	even as	0.0	[0, 0, 0]
00018302-r	rather	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00018302-r	sort of	0.0	[0]
00018781-r	quite	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00018781-r	rather	0.0	[0, 0]
00019181-r	quite	0.0	[0, 0, 0, 0]
00019339-r	always	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00019339-r	ever	0.0	[0, 0, 0, 0, 0]
00019757-r	always	0.0	[0, 0]
00020259-v	stay up	0.0	[0]
00020259-v	sit up	0.0	[0]
00020476-r	constantly	0.0	[0]
00020759-r	never	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00021212-r	occasionally	0.0	[0, 0, 0, 0]
00021212-r	on occasion	0.0	[0, 0, 0]
00022131-r	as	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00022131-r	equally	0.0	[0, 0, 0, 0]
00023271-n	knowledge	0.0	[0, 0, 0, 0, 0, 0]
00023773-n	motive	0.0	[0, 0, 0, 0, 0]
